Current Attendence Sheet Data of POS11513  |  All Type


-,2019-02-26-14:00:00-Lect-2H-ng,2019-03-05-14:00:00-Lect-2H-ng,2019-03-13-13:00:00-Lect-1H-ng,2019-03-18-09:00:00-Lect-2H-ng,2019-03-19-14:00:00-Lect-2H-ng,2019-03-25-15:00:00-Lect-1H-ng,2019-04-01-09:00:00-Lect-1H-ng,2019-04-08-14:00:00-Lect-1H-ng,2019-04-09-14:00:00-Lect-2H-ng,2019-05-21-14:00:00-Lect-2H-ng,2019-05-27-14:00:00-Lect-1H-ng,2019-05-28-14:00:00-Lect-1H-ng,2019-06-04-14:00:00-Lect-2H-ng,2019-06-10-15:00:00-Lect-1H-ng,2019-06-11-14:00:00-Lect-2H-ng,2019-06-17-14:00:00-Lect-2H-ng,2019-06-18-14:00:00-Lect-2H-ng,2019-06-24-09:00:00-Lect-1H-ng,2019-06-25-14:00:00-Lect-2H-ng,2019-07-01-15:00:00-Lect-1H-ng,2019-07-02-14:00:00-Lect-2H-ng,%
HS/2018/17061,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,45 %,
HS/2018/17064,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,39 %,
HS/2018/17065,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,55 %,
HS/2018/17066,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,64 %,
HS/2018/17071,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6 %,
HS/2018/17075,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,58 %,
HS/2018/17076,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,42 %,
HS/2018/17077,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,33 %,
HS/2018/17078,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,21 %,
HS/2018/17080,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,15 %,
HS/2018/17084,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,42 %,
HS/2018/17110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,21 %,
Total,49,72,0,0,63,74,6,18,32,57,89,74,0,61,89,71,80,91,103,61,0,
